zip_code,population,median_income,num_bachelors,num_masters,num_doctorate,num_white,pct_tertiary,pct_white
76117,32692,49782,1627,438,57,17149,6.5,52.5
76118,16822,89394,2221,1008,109,11468,19.8,68.2
76119,51401,44605,1813,546,9,13171,4.6,25.6
76120,19842,70129,2957,995,110,6755,20.5,34.0
76123,40973,91180,5274,2100,411,15125,19.0,36.9
76126,25480,106467,5044,2052,278,19828,28.9,77.8
76127,1657,103971,23,20,0,1349,2.6,81.39999999999999
76131,50572,101087,8485,3409,230,28086,24.0,55.50000000000001
76132,26709,68284,5291,2499,431,16499,30.8,61.8
76133,54241,69506,5779,3167,433,29144,17.299999999999997,53.7
76134,29211,65516,2199,1302,107,11846,12.4,40.6
76135,18648,69525,1921,863,111,14360,15.5,77.0
76137,58970,86733,8907,2686,286,33432,20.1,56.699999999999996
76140,31882,70933,2093,778,55,12446,9.2,39.0
76148,24080,88121,3148,700,27,16802,16.1,69.8
76155,6295,59653,1323,702,73,2133,33.300000000000004,33.900000000000006
76164,13853,52691,358,68,19,5213,3.2,37.6
76177,21967,102719,4992,1747,194,13494,31.6,61.4
76179,74074,106288,9770,3976,302,50107,19.0,67.60000000000001
76180,37271,76416,5714,2216,133,25836,21.6,69.3
76182,30509,110669,6317,2055,183,24529,28.000000000000004,80.4
76201,28345,37703,3528,1639,470,19146,19.900000000000002,67.5
76205,20734,60196,3707,1105,305,13221,24.7,63.800000000000004
76207,16685,88152,3034,1543,318,12266,29.299999999999997,73.5
76208,27364,100314,3919,1448,278,18618,20.599999999999998,68.0
76209,27538,69090,3631,1953,340,19079,21.5,69.3
76210,44990,102036,8203,3341,487,31855,26.700000000000003,70.8
76225,3093,75750,382,70,136,2992,19.0,96.7
76226,37413,165428,11096,4324,320,31294,42.1,83.6
76227,49155,106113,9491,3415,386,33440,27.0,68.0
76228,1258,67386,164,29,11,1166,16.2,92.7
76230,9742,68301,859,160,5,8944,10.5,91.8
76233,3256,68068,373,180,16,2824,17.5,86.7
76234,20110,85052,1877,863,155,16362,14.399999999999999,81.39999999999999
76238,499,107614,51,25,0,453,15.2,90.8
76239,1157,56042,95,70,0,1119,14.299999999999999,96.7
76240,29253,58384,2903,1085,300,23437,14.7,80.10000000000001
76244,75185,116568,13782,4944,575,51865,25.7,69.0
76245,1847,66652,232,73,11,1680,17.1,91.0
76247,16870,107405,2384,689,82,12790,18.7,75.8
76248,40130,161383,10585,4121,546,33729,38.0,84.0
76249,9572,103375,1742,320,71,7934,22.3,82.89999999999999
76250,835,81964,95,36,2,806,15.9,96.5
76251,672,61172,95,8,2,661,15.6,98.4
76252,2729,103098,423,163,21,2644,22.2,96.89999999999999
76253,264,64130,3,0,0,219,1.0999999999999999,83.0
76255,5743,53901,464,113,31,5037,10.6,87.7
76258,7559,81552,1212,300,38,5900,20.5,78.10000000000001
76259,5611,82041,575,352,50,5017,17.4,89.4
76261,152,58571,33,6,0,137,25.7,90.10000000000001
76262,42072,130524,10061,4304,484,30934,35.3,73.5
76264,1143,75149,227,54,8,1030,25.3,90.10000000000001
76265,1696,75212,212,30,0,1617,14.299999999999999,95.3
76266,18546,93327,2242,1172,56,15572,18.7,84.0
76268,125,83125,0,0,0,91,0.0,72.8
76270,2064,68705,184,31,0,1933,10.4,93.7
76271,1961,77750,306,56,7,1847,18.8,94.19999999999999
76272,5185,93800,684,150,48,4377,17.0,84.39999999999999
76273,10553,81969,805,494,129,9276,13.5,87.9
76301,15610,36250,598,390,14,9456,6.4,60.6
76302,11169,51159,1342,336,98,8488,15.9,76.0
76305,4829,73729,612,149,14,4033,16.0,83.5
76306,14391,47746,1234,451,53,10100,12.1,70.19999999999999
76308,20493,70872,2594,1328,303,16604,20.599999999999998,81.0
76309,14216,52250,1493,616,33,10392,15.1,73.1
76310,19676,79264,2739,923,310,15904,20.200000000000003,80.80000000000001
76311,7009,91048,269,283,0,4897,7.9,69.89999999999999
76351,1687,51010,181,57,10,1544,14.7,91.5
76354,11794,64493,1152,652,45,10488,15.7,88.9
76357,490,77083,52,12,23,450,17.8,91.8
76360,2541,51500,275,51,9,2207,13.200000000000001,86.9
76363,247,34107,10,4,0,92,5.7,37.2
76364,228,62083,31,26,0,227,25.0,99.6
76365,4566,62397,612,239,13,4157,18.9,91.0
76366,1984,49706,201,100,9,1848,15.6,93.10000000000001
76367,13984,68058,1042,614,15,11327,11.899999999999999,81.0
76370,478,83250,96,36,0,444,27.6,92.9
76371,1628,57431,93,41,9,1151,8.799999999999999,70.7
76372,1005,69167,75,10,0,944,8.5,93.89999999999999
76373,155,77938,25,0,0,143,16.1,92.30000000000001
76374,3629,41019,395,99,0,3246,13.600000000000001,89.4
76377,438,52857,33,12,0,438,10.299999999999999,100.0
76379,596,80972,57,4,0,482,10.2,80.9
76380,3526,53197,481,73,0,3111,15.7,88.2
76384,12279,50250,1039,169,36,8243,10.100000000000001,67.10000000000001
76388,205,48125,23,4,0,176,13.200000000000001,85.9
76389,1418,99375,136,12,10,1313,11.1,92.60000000000001
76401,30703,56918,4201,1610,205,25229,19.6,82.19999999999999
76424,8656,44423,778,259,17,7056,12.2,81.5
76426,11132,82346,1339,526,40,9409,17.1,84.5
76427,1030,70141,94,1,0,980,9.2,95.1
